horizon_min,fold,train_rows,test_rows,test_start,test_end,model_mae,model_rmse,baseline_mae,baseline_rmse
15,1,35376,35464,2026-08-09T21:30:00+00:00,2026-08-14T02:15:00+00:00,0.3497,0.5504,0.9454,1.1972
15,2,70840,35464,2026-08-14T02:15:00+00:00,2026-08-18T07:00:00+00:00,0.3091,0.4726,0.9662,1.2289
15,3,106304,35464,2026-08-18T07:00:00+00:00,2026-08-22T11:45:00+00:00,0.3309,0.4805,1.0506,1.3702
15,4,141768,35464,2026-08-22T11:45:00+00:00,2026-08-26T16:30:00+00:00,0.2997,0.4315,0.9735,1.2395
30,1,35200,35464,2026-08-09T21:27:00+00:00,2026-08-14T02:09:00+00:00,0.5198,0.7944,0.9454,1.1972
30,2,70664,35464,2026-08-14T02:09:00+00:00,2026-08-18T06:51:00+00:00,0.4382,0.6407,0.9662,1.2289
30,3,106128,35464,2026-08-18T06:51:00+00:00,2026-08-22T11:33:00+00:00,0.4633,0.6509,1.0506,1.3702
30,4,141592,35464,2026-08-22T11:33:00+00:00,2026-08-26T16:15:00+00:00,0.4196,0.5707,0.9735,1.2395
60,1,35024,35376,2026-08-09T21:21:00+00:00,2026-08-14T01:57:00+00:00,0.7092,1.0528,0.9465,1.1985
60,2,70400,35464,2026-08-14T01:57:00+00:00,2026-08-18T06:33:00+00:00,0.5958,0.8573,0.9657,1.2284
60,3,105864,35376,2026-08-18T06:33:00+00:00,2026-08-22T11:09:00+00:00,0.6047,0.8355,1.0509,1.3706
60,4,141240,35464,2026-08-22T11:09:00+00:00,2026-08-26T15:45:00+00:00,0.5577,0.7495,0.9735,1.2395
